TYPE,SKU,DESCRIPTION,REVENUE,COMMISSION
EBU MBB,116624N,36m Band 0A Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116624,36m Band 0A Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116625N,36m Band 0A Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116625,36m Band 0A Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116626N,36m Band 0A Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116626,36m Band 0A Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116627N,36m Band 0A Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116627,36m Band 0A Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116628N,36m Band 1 Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116628,36m Band 1 Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116629N,36m Band 1 Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116629,36m Band 1 Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116630N,36m Band 1 Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116630,36m Band 1 Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116631N,36m Band 1 Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116631,36m Band 1 Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116632N,36m Band 2 Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116632,36m Band 2 Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116633N,36m Band 2 Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116633,36m Band 2 Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116634N,36m Band 2 Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116634,36m Band 2 Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116635N,36m Band 2 Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116635,36m Band 2 Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116636N,36m Band 3 Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116636,36m Band 3 Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116637N,36m Band 3 Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116637,36m Band 3 Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116638N,36m Band 3 Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116638,36m Band 3 Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116639N,36m Band 3 Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116639,36m Band 3 Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116640N,36m Band 4 Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116640,36m Band 4 Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116641N,36m Band 4 Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116641,36m Band 4 Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116642N,36m Band 4 Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116642,36m Band 4 Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116643N,36m Band 4 Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116643,36m Band 4 Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116644N,36m Band 5 Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116644,36m Band 5 Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116645N,36m Band 5 Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116645,36m Band 5 Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116646N,36m Band 5 Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116646,36m Band 5 Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116647N,36m Band 5 Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116647,36m Band 5 Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116648N,36m Band 5A Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116648,36m Band 5A Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116649N,36m Band 5A Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116649,36m Band 5A Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116650N,36m Band 5A Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116650,36m Band 5A Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116651N,36m Band 5A Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116651,36m Band 5A Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116652N,36m Band 6 Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116652,36m Band 6 Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116653N,36m Band 6 Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116653,36m Band 6 Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116654N,36m Band 6 Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116654,36m Band 6 Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116655N,36m Band 6A Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116655,36m Band 6A Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116656N,36m Band 6A Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116656,36m Band 6A Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116657N,36m Band 6A Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116657,36m Band 6A Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116658N,36m Band 7 Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116658,36m Band 7 Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116659N,36m Band 7 Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116659,36m Band 7 Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116660N,36m Band 7 Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116660,36m Band 7 Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116661N,36m Band Y Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116661,36m Band Y Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116662N,36m Band Y Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116662,36m Band Y Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116663N,36m Band Y Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116663,36m Band Y Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116664N,36m Band Y Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116664,36m Band Y Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116665N,36m Band Z Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116665,36m Band Z Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116666N,36m Band Z Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116666,36m Band Z Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116667N,36m Band Z Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116667,36m Band Z Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116668N,36m Band Z Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116668,36m Band Z Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116669N,36m Band Q Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116669,36m Band Q Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116670N,36m Band Q Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116670,36m Band Q Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116671N,36m Band Q Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116671,36m Band Q Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116672N,36m Band Q Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116672,36m Band Q Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116673N,36m Band P Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116673,36m Band P Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116674N,36m Band P Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116674,36m Band P Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116675N,36m Band P Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116675,36m Band P Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116676N,36m Band P Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116676,36m Band P Tablet Laptop Business Plan Unlimited Max,0.0,0.0
EBU MBB,116677N,36m Band 8 Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116677,36m Band 8 Tablet Laptop Business Plan 2GB,0.0,0.0
EBU MBB,116678N,36m Band 8 Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116678,36m Band 8 Tablet Laptop Business Plan 6GB,0.0,0.0
EBU MBB,116679N,36m Band 8 Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116679,36m Band 8 Tablet Laptop Business Plan 25GB,0.0,0.0
EBU MBB,116680N,36m Band 5A Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116680,36m Band 5A Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116681N,36m Band 5 Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116681,36m Band 5 Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116682N,36m Band 4 Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116682,36m Band 4 Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116683N,36m Band 3 Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116683,36m Band 3 Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116684N,36m Band 2 Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116684,36m Band 2 Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116685N,36m Band 1 Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116685,36m Band 1 Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116686N,36m Band 0A Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116686,36m Band 0A Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116687N,36m Band 0 Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116687,36m Band 0 Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116688N,36m Band X Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116688,36m Band X Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116689N,36m Band Y Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116689,36m Band Y Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116690N,36m Band Z Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116690,36m Band Z Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116691N,36m Band Q Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116691,36m Band Q Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116692N,36m Band P Tablet Laptop Business Plan 100GB,0.0,0.0
EBU MBB,116692,36m Band P Tablet Laptop Business Plan 100GB,0.0,0.0
EBU SIMO AIRTIME,116705N,36m Standard1 2GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116705,36m Standard1 2GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116706N,36m Promo (5G)4 2GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116706,36m Promo (5G)4 2GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116711N,36m Standard1 6GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116711,36m Standard1 6GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116712N,36m Promo (5G)4 6GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116712,36m Promo (5G)4 6GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116713N,36m Promo (High tier)5 6GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116713,36m Promo (High tier)5 6GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116714N,36m Promo (High tier)5 10GB Retention Plans Bronze,0.0,0.0
EBU SIMO AIRTIME,116714,36m Promo (High tier)5 10GB Retention Plans Bronze,0.0,0.0
EBU SIMO AIRTIME,116716N,36m Standard1 25GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116716,36m Standard1 25GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116720N,36m Promo (5G)4 25GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116720,36m Promo (5G)4 25GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116721N,36m Promo (High tier)5 25GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116721,36m Promo (High tier)5 25GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116722N,36m Promo (High tier)5 40GB Retention Plans Bronze,0.0,0.0
EBU SIMO AIRTIME,116722,36m Promo (High tier)5 40GB Retention Plans Bronze,0.0,0.0
EBU SIMO AIRTIME,116727N,36m Standard1 100GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116727,36m Standard1 100GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116731N,36m Promo (High tier)5 120GB Retention Plans Bronze,0.0,0.0
EBU SIMO AIRTIME,116731,36m Promo (High tier)5 120GB Retention Plans Bronze,0.0,0.0
EBU SIMO AIRTIME,116738N,36m Promo14 250GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116738,36m Promo14 250GB Red Bronze,0.0,0.0
EBU SIMO AIRTIME,116742N,36m Standard1 Unlimited Bronze,0.0,0.0
EBU SIMO AIRTIME,116742,36m Standard1 Unlimited Bronze,0.0,0.0
EBU SIMO AIRTIME,116745N,36m Standard1 Unlimited Max Bronze,0.0,0.0
EBU SIMO AIRTIME,116745,36m Standard1 Unlimited Max Bronze,0.0,0.0
EBU SIMO AIRTIME,116748N,36m Promo (mid tier)6 Unlimited Max Bronze,0.0,0.0
EBU SIMO AIRTIME,116748,36m Promo (mid tier)6 Unlimited Max Bronze,0.0,0.0
EBU SIMO AIRTIME,116758N,36m Standard1 6GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116758,36m Standard1 6GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116761N,36m Promo (low tier)7 10GB Retention Plans Silver,0.0,0.0
EBU SIMO AIRTIME,116761,36m Promo (low tier)7 10GB Retention Plans Silver,0.0,0.0
EBU SIMO AIRTIME,116763N,36m Standard1 25GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116763,36m Standard1 25GB Red Silver,0.0,0.0
EBU SIMO AIRTIME,116764N,36m Promo10 25GB Red Silver,0.0,0.0
