TYPE,SKU,DESCRIPTION,REVENUE,COMMISSION
EBU HBB,114619N,Bus Pro Ultrafast 500 - Fibre to Your Premises 36m,240.0,24.0
EBU HBB,114619,Bus Pro Ultrafast 500 - Fibre to Your Premises 36m,20.0,2.0
EBU HBB,114621N,Bus Pro Gigafast 900 - Fibre to Your Premises 36m,250.0,25.0
EBU HBB,114621,Bus Pro Gigafast 900 - Fibre to Your Premises 36m,20.0,2.0
EBU HBB,114623N,Bus Pro Superfast 100 - Fibre to Your Premises 36m,160.0,16.0
EBU HBB,114623,Bus Pro Superfast 100 - Fibre to Your Premises 36m,20.0,2.0
EBU HBB,114626N,Bus Superfast 100 - Fibre to Your Premises 18m,65.0,6.5
EBU HBB,114626,Bus Superfast 100 - Fibre to Your Premises 18m,20.0,2.0
EBU MBB,116616N,36m Band X Tablet Laptop Business Plan 2GB,130.1,6.505
EBU MBB,116616,36m Band X Tablet Laptop Business Plan 2GB,65.05,3.2525
EBU MBB,116617N,36m Band X Tablet Laptop Business Plan 6GB,161.77,8.088500000000002
EBU MBB,116617,36m Band X Tablet Laptop Business Plan 6GB,80.885,4.044250000000001
EBU MBB,116618N,36m Band X Tablet Laptop Business Plan 25GB,162.6,8.13
EBU MBB,116618,36m Band X Tablet Laptop Business Plan 25GB,81.3,4.065
EBU MBB,116619N,36m Band X Tablet Laptop Business Plan Unlimited Max,186.56,9.328000000000001
EBU MBB,116619,36m Band X Tablet Laptop Business Plan Unlimited Max,121.26400000000001,6.063200000000001
EBU MBB,116620N,36m Band 0 Tablet Laptop Business Plan 2GB,115.67,5.7835
EBU MBB,116620,36m Band 0 Tablet Laptop Business Plan 2GB,57.835,2.89175
EBU MBB,116621N,36m Band 0 Tablet Laptop Business Plan 6GB,149.84,7.492000000000001
EBU MBB,116621,36m Band 0 Tablet Laptop Business Plan 6GB,74.92,3.7460000000000004
EBU MBB,116622N,36m Band 0 Tablet Laptop Business Plan 25GB,150.67,7.5335
EBU MBB,116622,36m Band 0 Tablet Laptop Business Plan 25GB,75.335,3.76675
EBU MBB,116623N,36m Band 0 Tablet Laptop Business Plan Unlimited Max,175.05,8.752500000000001
EBU MBB,116623,36m Band 0 Tablet Laptop Business Plan Unlimited Max,113.78250000000001,5.689125000000001
EBU MBB,116624N,36m Band 0A Tablet Laptop Business Plan 2GB,126.25,6.3125
EBU MBB,116624,36m Band 0A Tablet Laptop Business Plan 2GB,63.125,3.15625
EBU MBB,116625N,36m Band 0A Tablet Laptop Business Plan 6GB,143.75,7.1875
EBU MBB,116625,36m Band 0A Tablet Laptop Business Plan 6GB,71.875,3.59375
EBU MBB,116626N,36m Band 0A Tablet Laptop Business Plan 25GB,158.75,7.9375
EBU MBB,116626,36m Band 0A Tablet Laptop Business Plan 25GB,79.375,3.96875
EBU MBB,116627N,36m Band 0A Tablet Laptop Business Plan Unlimited Max,171.67,8.583499999999999
EBU MBB,116627,36m Band 0A Tablet Laptop Business Plan Unlimited Max,111.5855,5.579275
EBU MBB,116628N,36m Band 1 Tablet Laptop Business Plan 2GB,104.27,5.2135
EBU MBB,116628,36m Band 1 Tablet Laptop Business Plan 2GB,52.135,2.60675
EBU MBB,116629N,36m Band 1 Tablet Laptop Business Plan 6GB,119.27,5.9635
EBU MBB,116629,36m Band 1 Tablet Laptop Business Plan 6GB,59.635,2.98175
EBU MBB,116630N,36m Band 1 Tablet Laptop Business Plan 25GB,136.77,6.838500000000001
EBU MBB,116630,36m Band 1 Tablet Laptop Business Plan 25GB,68.385,3.4192500000000003
EBU MBB,116631N,36m Band 1 Tablet Laptop Business Plan Unlimited Max,152.4,7.620000000000001
EBU MBB,116631,36m Band 1 Tablet Laptop Business Plan Unlimited Max,99.06,4.953
